"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"2.0","->-","GABARAPL1 (->-) VTI1B","false","->-","GABARAPL1 (->-) VTI1B"
"2.0","->-","TIMM17A (->-) UQCRQ","false","->-","TIMM17A (->-) UQCRQ"
"1.0","->-","UQCRQ (->-) TIMM17A","false","->-","UQCRQ (->-) TIMM17A"
"190.0","->-","UNC119 (->-) TFPT","false","->-","UNC119 (->-) TFPT"
"6.0","->+","YWHAH (->+) TBC1D4","false","->+","YWHAH (->+) TBC1D4"
"2.0","->-","PCSK2 (->-) SYT1","false","->-","PCSK2 (->-) SYT1"
"186.0","->-","RTN1 (->-) STMN2","false","->-","RTN1 (->-) STMN2"
"99.0","->+","TAGLN3 (->+) RTN1","false","->+","TAGLN3 (->+) RTN1"
"1.0","->+","RAB3A (->+) REEP2","false","->+","RAB3A (->+) REEP2"
"13.0","->+","SNAP25 (->+) RAB15","false","->+","SNAP25 (->+) RAB15"
"8.0","->-","STMN2 (->-) RTN1","false","->-","STMN2 (->-) RTN1"
"101.0","->-","STMN2 (->-) PSMG1","false","->-","STMN2 (->-) PSMG1"
"270.0","->+","PRKG2 (->+) UNC119","false","->+","PRKG2 (->+) UNC119"
"2.0","->-","ARNTL2 (->-) PPFIBP1","false","->-","ARNTL2 (->-) PPFIBP1"
"1.0","->-","ENO2 (->-) PFKM","false","->-","ENO2 (->-) PFKM"
"1.0","->+","ATP1A3 (->+) PANK2","false","->+","ATP1A3 (->+) PANK2"
"1.0","->-","GUCY1A2 (->-) NIPAL2","false","->-","GUCY1A2 (->-) NIPAL2"
"10.0","->-","TUBA4A (->-) NCALD","false","->-","TUBA4A (->-) NCALD"
"5.0","->+","MLLT11 (->+) TTC3","false","->+","MLLT11 (->+) TTC3"
"2.0","->-","SYT13 (->-) VSNL1","false","->-","SYT13 (->-) VSNL1"
"4.0","->-","SYT13 (->-) MLLT11","false","->-","SYT13 (->-) MLLT11"
"3.0","->+","CACNB4 (->+) TRO","false","->+","CACNB4 (->+) TRO"
"3.0","->-","CACNB4 (->-) MAPK8","false","->-","CACNB4 (->-) MAPK8"
"30.0","->+","PAK1 (->+) PHTF1","false","->+","PAK1 (->+) PHTF1"
"15.0","->-","PAK1 (->-) LIMK1","false","->-","PAK1 (->-) LIMK1"
"2.0","->-","SULT4A1 (->-) KIAA0232","false","->-","SULT4A1 (->-) KIAA0232"
"69.0","->-","KCNAB2 (->-) RAB15","false","->-","KCNAB2 (->-) RAB15"
"86.0","->+","MAST1 (->+) KCNAB2","false","->+","MAST1 (->+) KCNAB2"
"6.0","->-","INPP4B (->-) INPP5J","false","->-","INPP4B (->-) INPP5J"
"6.0","->-","INPP5J (->-) YWHAH","false","->-","INPP5J (->-) YWHAH"
"1.0","->-","INPP5J (->-) INPP4B","false","->-","INPP5J (->-) INPP4B"
"1.0","->-","ELOVL4 (->-) INA","false","->-","ELOVL4 (->-) INA"
"1.0","->-","SLITRK3 (->-) IL1RAP","false","->-","SLITRK3 (->-) IL1RAP"
"4.0","->-","PDE10A (->-) GUCY1B3","false","->-","PDE10A (->-) GUCY1B3"
"1.0","->-","GABRA4 (->-) GPR22","false","->-","GABRA4 (->-) GPR22"
"3.0","->-","CALY (->-) RUSC1","false","->-","CALY (->-) RUSC1"
"3.0","->-","CALY (->-) GABRD","false","->-","CALY (->-) GABRD"
"1.0","->-","SLC7A8 (->-) GABRB3","false","->-","SLC7A8 (->-) GABRB3"
"90.0","->-","GABBR2 (->-) IPCEF1","false","->-","GABBR2 (->-) IPCEF1"
"153.0","->-","IPCEF1 (->-) GRIN1","false","->-","IPCEF1 (->-) GRIN1"
"8.0","->-","IPCEF1 (->-) GABBR2","false","->-","IPCEF1 (->-) GABBR2"
"1.0","->-","ATP1B3 (->-) FXYD7","false","->-","ATP1B3 (->-) FXYD7"
"6.0","->-","FGF14 (->-) KCNA1","false","->-","FGF14 (->-) KCNA1"
"2.0","->-","FAR2 (->-) FAM49A","false","->-","FAR2 (->-) FAM49A"
"29.0","->-","SNAP91 (->-) KCNC1","false","->-","SNAP91 (->-) KCNC1"
"261.0","->-","SNAP91 (->-) GRIN1","false","->-","SNAP91 (->-) GRIN1"
"29.0","->-","SNAP91 (->-) FAM110B","false","->-","SNAP91 (->-) FAM110B"
"5.0","->-","ESRRG (->-) FSTL4","false","->-","ESRRG (->-) FSTL4"
"1.0","->-","GAP43 (->-) ELAVL2","false","->-","GAP43 (->-) ELAVL2"
"114.0","->-","TFPT (->-) EEF1A2","false","->-","TFPT (->-) EEF1A2"
"132.0","->-","DNM1 (->-) NRIP3","false","->-","DNM1 (->-) NRIP3"
"72.0","->-","NRIP3 (->-) TAGLN3","false","->-","NRIP3 (->-) TAGLN3"
"18.0","->-","NRIP3 (->-) SEPT6","false","->-","NRIP3 (->-) SEPT6"
"54.0","->+","NRIP3 (->+) MAST1","false","->+","NRIP3 (->+) MAST1"
"18.0","->-","NRIP3 (->-) GABRA1","false","->-","NRIP3 (->-) GABRA1"
"18.0","->-","NRIP3 (->-) EHBP1","false","->-","NRIP3 (->-) EHBP1"
"7.0","->-","NRIP3 (->-) DNM1","false","->-","NRIP3 (->-) DNM1"
"18.0","->-","NRIP3 (->-) DIRAS2","false","->-","NRIP3 (->-) DIRAS2"
"8.0","->-","DENND5B (->-) ESRRG","false","->-","DENND5B (->-) ESRRG"
"5.0","->-","FSTL4 (->-) DENND5B","false","->-","FSTL4 (->-) DENND5B"
"2.0","->-","SCN8A (->-) FGF14","false","->-","SCN8A (->-) FGF14"
"1.0","->-","SCN8A (->-) FGF13","false","->-","SCN8A (->-) FGF13"
"1.0","->-","SCN8A (->-) CNTNAP1","false","->-","SCN8A (->-) CNTNAP1"
"288.0","->-","CNNM1 (->-) PRKG2","false","->-","CNNM1 (->-) PRKG2"
"72.0","->-","CNNM1 (->-) OXR1","false","->-","CNNM1 (->-) OXR1"
"336.0","->+","CLTB (->+) SNAP91","false","->+","CLTB (->+) SNAP91"
"28.0","->-","PHTF1 (->-) CLGN","false","->-","PHTF1 (->-) CLGN"
"56.0","->-","GRIN1 (->-) RASAL2","false","->-","GRIN1 (->-) RASAL2"
"336.0","->-","GRIN1 (->-) CNNM1","false","->-","GRIN1 (->-) CNNM1"
"56.0","->+","GRIN1 (->+) CIT","false","->+","GRIN1 (->+) CIT"
"42.0","->-","CHRM2 (->-) GNB5","false","->-","CHRM2 (->-) GNB5"
"169.0","->-","CHRM2 (->-) CLTB","false","->-","CHRM2 (->-) CLTB"
"13.0","->-","GNB5 (->-) PRKCE","false","->-","GNB5 (->-) PRKCE"
"52.0","->-","GNB5 (->-) PAK1","false","->-","GNB5 (->-) PAK1"
"84.0","->-","GNB5 (->-) CHRM2","false","->-","GNB5 (->-) CHRM2"
"40.0","->+","RAB6B (->+) CHML","false","->+","RAB6B (->+) CHML"
"5.0","->+","TUBB2A (->+) TUBA8","false","->+","TUBB2A (->+) TUBA8"
"4.0","->-","TUBB2A (->-) CENPJ","false","->-","TUBB2A (->-) CENPJ"
"12.0","->-","PAK7 (->-) CDC42","false","->-","PAK7 (->-) CDC42"
"1.0","->-","THY1 (->-) CD83","false","->-","THY1 (->-) CD83"
"2.0","->-","CCNB1 (->-) FBXW7","false","->-","CCNB1 (->-) FBXW7"
"1.0","->-","FBXW7 (->-) CCNB1","false","->-","FBXW7 (->-) CCNB1"
"2.0","->-","CCDC68 (->-) PLEKHG3","false","->-","CCDC68 (->-) PLEKHG3"
"1.0","->-","PLEKHG3 (->-) CCDC68","false","->-","PLEKHG3 (->-) CCDC68"
"56.0","->-","CACNA1C (->-) RBFOX1","false","->-","CACNA1C (->-) RBFOX1"
"15.0","->-","CACNA1C (->-) FGF12","false","->-","CACNA1C (->-) FGF12"
"15.0","->+","RBFOX1 (->+) ZMAT4","false","->+","RBFOX1 (->+) ZMAT4"
"15.0","->-","RBFOX1 (->-) TOX","false","->-","RBFOX1 (->-) TOX"
"15.0","->-","RBFOX1 (->-) SLC17A6","false","->-","RBFOX1 (->-) SLC17A6"
"15.0","->-","RBFOX1 (->-) PEG3","false","->-","RBFOX1 (->-) PEG3"
"30.0","->-","RBFOX1 (->-) CAMK2B","false","->-","RBFOX1 (->-) CAMK2B"
"14.0","->-","RBFOX1 (->-) CACNA1C","false","->-","RBFOX1 (->-) CACNA1C"
"115.0","->-","BSCL2 (->-) CDS1","false","->-","BSCL2 (->-) CDS1"
"132.0","->-","CDS1 (->-) RTN1","false","->-","CDS1 (->-) RTN1"
"21.0","->-","CDS1 (->-) BSCL2","false","->-","CDS1 (->-) BSCL2"
"44.0","->-","CDS1 (->-) B4GALT6","false","->-","CDS1 (->-) B4GALT6"
"15.0","->-","TSPAN13 (->-) NT5DC3","false","->-","TSPAN13 (->-) NT5DC3"
"5.0","->-","TSPAN13 (->-) B4GALNT1","false","->-","TSPAN13 (->-) B4GALNT1"
"8.0","->-","NT5DC3 (->-) DPP6","false","->-","NT5DC3 (->-) DPP6"
"8.0","->-","NT5DC3 (->-) ATP8A2","false","->-","NT5DC3 (->-) ATP8A2"
"10.0","->-","CDC42 (->-) TUBA4A","false","->-","CDC42 (->-) TUBA4A"
"5.0","->+","CDC42 (->+) ARHGAP44","false","->+","CDC42 (->+) ARHGAP44"
"78.0","->-","APBA1 (->-) RAB6B","false","->-","APBA1 (->-) RAB6B"
"39.0","->-","APBA1 (->-) PITPNB","false","->-","APBA1 (->-) PITPNB"
"19.0","->+","STXBP1 (->+) RAB15","false","->+","STXBP1 (->+) RAB15"
"19.0","->-","STXBP1 (->-) NEFH","false","->-","STXBP1 (->-) NEFH"
"19.0","->-","STXBP1 (->-) KCNA2","false","->-","STXBP1 (->-) KCNA2"
"19.0","->-","STXBP1 (->-) CRMP1","false","->-","STXBP1 (->-) CRMP1"
"19.0","->-","STXBP1 (->-) CHRNB2","false","->-","STXBP1 (->-) CHRNB2"
"76.0","->-","STXBP1 (->-) APBA1","false","->-","STXBP1 (->-) APBA1"
"2.0","->-","GPI (->-) ANXA6","false","->-","GPI (->-) ANXA6"
"6.0","->-","CENPJ (->-) TUBB2A","false","->-","CENPJ (->-) TUBB2A"
"5.0","->+","CENPJ (->+) ANAPC1","false","->+","CENPJ (->+) ANAPC1"
"5.0","->+","GUCY1B3 (->+) AHNAK2","false","->+","GUCY1B3 (->+) AHNAK2"
"19.0","->-","CAMK2B (->-) AGGF1","false","->-","CAMK2B (->-) AGGF1"
"2.0","->+","TSPAN7 (->+) AFF2","false","->+","TSPAN7 (->+) AFF2"
"1.0","->-","ADAM22 (->-) EPB41L3","false","->-","ADAM22 (->-) EPB41L3"
"1.0","->-","ADAM22 (->-) ADAM23","false","->-","ADAM22 (->-) ADAM23"
"2.0","->+","AMPH (->+) AAGAB","false","->+","AMPH (->+) AAGAB"
