"AverageShortestPathLength","BetweennessCentrality","Classification","ClosenessCentrality","ClusteringCoefficient","ControlCapacity","ControlCentrality","Eccentricity","EdgeCount","Indegree","IsSingleNode","MDS","MSS","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","ProbabilityInMSS","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0","0.0","0.0","0.797","1","0","1","1","false","false","false","ZMAT4","6.0","0","0","0.786","false","0","ZMAT4","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","VTI1B","1.0","0","0","0.0","false","0","VTI1B","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","GABARAPL1","1.0","1","0","1.0","false","0","GABARAPL1","0"
"0.0","0.0","0","0.0","0.0","0.615","1","0","1","1","false","false","false","VSNL1","2.0","0","0","0.518","false","0","VSNL1","0"
"0.0","0.0","0","0.0","0.0","0.46","1","0","1","1","false","false","false","TUBA8","2.0","0","0","0.148","false","0","TUBA8","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","TTC3","2.0","0","0","0.0","false","0","TTC3","0"
"0.0","0.0","0","0.0","0.0","0.366","1","0","1","1","false","false","false","TRO","2.0","0","0","0.506","false","0","TRO","0"
"0.0","0.0","0","0.0","0.0","0.745","1","0","1","1","false","true","true","TOX","6.0","0","0","0.823","false","0","TOX","0"
"1.0","0.0","2","1.0","0.0","0.0","2","1","2","1","false","false","true","TIMM17A","1.0","1","1","0.504","false","0","TIMM17A","0"
"1.0","0.0","2","1.0","0.0","0.0","2","1","2","1","false","false","false","UQCRQ","1.0","1","1","0.496","false","0","UQCRQ","0"
"1.5","0.4285714285714286","2","0.6666666666666666","0.0","0.0","3","2","2","1","false","false","false","UNC119","2.0","1","0","0.0","false","0","UNC119","180"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","TBC1D4","2.0","0","0","0.0","false","0","TBC1D4","0"
"1.0","0.5","1","1.0","0.0","0.37","2","1","2","1","false","false","false","YWHAH","1.5","1","0","0.0","false","0","YWHAH","3"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","SYT1","1.0","0","0","0.0","false","0","SYT1","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","PCSK2","1.0","1","0","1.0","false","0","PCSK2","0"
"0.0","0.0","0","0.0","0.0","0.778","1","0","1","1","false","true","true","SLC17A6","6.0","0","0","0.809","false","0","SLC17A6","0"
"0.0","0.0","0","0.0","0.0","0.852","1","0","1","1","false","false","false","SEPT6","7.0","0","0","0.843","false","0","SEPT6","0"
"0.0","0.0","0","0.0","0.0","0.509","1","0","1","1","false","false","false","RUSC1","2.0","0","0","0.488","false","0","RUSC1","0"
"1.5","0.2566666666666667","2","0.6666666666666666","0.0","0.0","3","2","4","3","false","false","false","RTN1","2.3333333333333335","1","1","0.0","false","0","RTN1","154"
"2.0","0.09000000000000001","1","0.5","0.0","0.861","4","3","2","1","false","true","true","TAGLN3","5.0","1","0","0.812","false","0","TAGLN3","54"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","REEP2","1.0","0","0","0.0","false","0","REEP2","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","RAB3A","1.0","1","0","1.0","false","0","RAB3A","0"
"0.0","0.0","0","0.0","0.0","0.685","1","0","1","1","false","false","false","RASAL2","5.0","0","0","0.669","false","0","RASAL2","0"
"1.0","0.0","0","1.0","0.0","1.0","2","1","1","0","false","true","true","SNAP25","3.0","1","0","1.0","false","0","SNAP25","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","3","3","false","false","false","RAB15","3.0","0","0","0.0","false","0","RAB15","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","PSMG1","2.0","0","0","0.0","false","0","PSMG1","0"
"1.0","0.155","2","1.0","0.0","0.0","2","1","3","1","false","false","false","STMN2","2.0","2","1","0.0","false","0","STMN2","93"
"2.0","0.5142857142857143","1","0.5","0.0","0.569","4","3","2","1","false","false","false","PRKG2","2.5","1","0","0.528","false","0","PRKG2","216"
"0.0","0.0","0","0.0","0.0","0.755","1","0","1","1","false","false","false","PRKCE","3.0","0","0","0.546","false","0","PRKCE","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","PPFIBP1","1.0","0","0","0.0","false","0","PPFIBP1","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","ARNTL2","1.0","1","0","1.0","false","0","ARNTL2","0"
"0.0","0.0","0","0.0","0.0","0.633","1","0","1","1","false","false","false","PITPNB","3.0","0","0","0.525","false","0","PITPNB","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","PFKM","1.0","0","0","0.0","false","0","PFKM","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","ENO2","1.0","1","0","1.0","false","0","ENO2","0"
"0.0","0.0","0","0.0","0.0","0.801","1","0","1","1","false","true","true","PEG3","6.0","0","0","0.804","false","0","PEG3","0"
