GeneSymbol,EDS,ActivityLinking_Conserved_nt_count,ActivityLinking_nt_count,ProximityLinking_Conserved_nt_count,ProximityLinking_nt_count,ActivityLinking_EnhancerNumber,ActivityLinking_NumberConservedElements,ProximityLinking_EnhancerNumber,ProximityLinking_NumberConservedElements,pLI,RVIS
ENSG00000000003,0.69131893186915805,6761,31600,7714,30200,19,246,10,296,2.8202183261214601E-2,57.54
ENSG00000000005,0.76103669535517404,3871,19600,16212,59400,21,129,35,594,0.81644094885399698,35.5
ENSG00000000419,0.44419881895737201,931,3600,959,8400,7,24,5,36,0.53674747170631498,64.45
ENSG00000000457,0.563177977098127,569,10400,12030,102000,13,17,64,352,0.54705380776741097,51.26
ENSG00000000460,0.25562351289650098,0,600,0,0,1,0,0,0,0.000000,10.81
ENSG00000000938,0.49759061021529399,3304,25800,7140,66600,19,100,5,237,0.17717443874508099,11.68
ENSG00000000971,0.42426500504710102,706,31000,901,25600,29,47,19,81,0.99963096815145003,39.03
ENSG00000001036,0.54372461404786698,14,4800,10810,137400,13,3,59,408,3.6558350570195801E-4,57.48
ENSG00000001084,0.74533367808084905,3940,51600,12436,192200,50,158,62,448,0.81507835457040201,25.31
ENSG00000001167,0.48481590401690799,560,16000,6213,34600,9,37,24,206,2.20592707694253E-2,23.79
ENSG00000001460,0.56484285265530298,3645,49400,10704,81600,20,129,26,366,1.0643410734956E-4,NA
ENSG00000001461,0.31850924527461499,1382,35600,3634,67200,21,74,23,161,4.5471189361881301E-4,32.18
ENSG00000001497,0.57839455251360905,999,6600,8561,64400,13,39,26,387,0.89209559518602199,9.76
ENSG00000001561,0.408355983917981,3032,40800,2572,34200,71,96,24,82,0.41468393072452803,68.37
ENSG00000001617,0.71915080551882704,4641,25000,12183,60600,15,168,15,354,0.999917700468544,8.74
ENSG00000001626,0.52437033097818497,547,8400,25382,254200,24,31,107,1059,0.000000,96.66
ENSG00000001629,0.48926397256314103,365,4000,7893,87600,7,31,61,377,0.99988567465013201,73.95
ENSG00000001630,0.47767737086423001,0,600,8969,83000,3,0,61,353,0.000010,25.31
ENSG00000001631,0.41016079333381,380,3000,1070,10400,3,23,6,47,9.4238245032780305E-2,7.92
ENSG00000002016,0.542635790670285,82,1000,12285,130400,3,3,44,573,0.000000,63.09
ENSG00000002330,0.54338079100334302,977,3200,1764,7600,4,14,2,27,4.1457884399933199E-4,63.17
ENSG00000002549,0.41551919001027299,1215,17800,2227,49600,14,27,18,64,1.22013401187321E-3,58.01
ENSG00000002586,0.37240895308904898,0,7400,996,131800,17,0,63,28,0.21761289792797001,72.34
ENSG00000002587,0.45723236249941601,1784,29600,30865,647600,34,81,350,1232,6.1754102125881902E-3,27.26
ENSG00000002726,0.59130034784895003,306,57800,11234,117800,16,27,27,310,0.000000,NA
ENSG00000002745,0.57199208085055597,932,3200,27978,242400,11,25,99,1017,1.8515870125310801E-4,28.07
ENSG00000002746,0.471018654163123,2327,15000,20328,325600,23,51,175,675,0.99999989353785201,0.8
ENSG00000002822,0.72605031907351103,905,16600,18295,399200,24,20,115,626,0.000000,67.91
ENSG00000002834,0.57408776450751098,673,2800,15456,194000,8,10,64,597,0.86673943505950002,39.35
ENSG00000002919,0.638524901527591,2407,11000,63827,240800,12,50,81,1327,0.000039,32.869999999999997
ENSG00000002933,0.52479334868027505,807,43600,1797,53600,29,62,15,108,0.39981043749473399,80.09
ENSG00000003056,0.37103781942562097,109,4200,1894,23200,5,5,10,40,0.71302578173055997,23.42
ENSG00000003096,0.62741407819609696,1898,22800,26967,219200,32,116,170,1159,NA,15.38
ENSG00000003137,0.94985451314455305,3549,15600,101135,715600,26,112,302,3003,0.95435350664945295,86.96
ENSG00000003147,0.59148566833649896,958,14200,32044,263800,32,58,99,1254,4.9503682925165198E-3,31.52
ENSG00000003249,0.33300935078122201,1266,25200,891,26600,20,78,11,62,2.34996408377196E-4,33.42
ENSG00000003393,0.48109946610909599,1753,18800,5481,49400,15,82,22,231,7.6964135473360398E-4,1.61
ENSG00000003400,0.49539679360746902,2475,83200,6662,125000,36,311,26,566,0.000000,46.32
ENSG00000003402,0.50243360642958201,2380,40400,5003,67200,22,156,19,238,0.99971986969954496,43.83
ENSG00000003436,0.55192445162623105,348,25800,9550,314800,25,30,202,427,2.5322955589513401E-2,67.510000000000005
ENSG00000003509,0.33797797534713198,0,5400,1155,20200,3,0,9,63,0.000000,NA
ENSG00000003756,0.506089027138235,55,3000,10985,95800,4,4,53,332,0.99999946980235199,5.0999999999999996
ENSG00000003987,0.558949003409417,1466,24400,8788,158200,46,78,64,496,0.000000,2.76
ENSG00000003989,0.67191432676006602,3685,63000,4461,77400,40,239,37,295,0.000000,16.27
ENSG00000004059,0.49368637007488297,327,3400,1239,6600,2,21,2,17,0.23400112660050401,37.75
ENSG00000004139,0.49950194243787099,654,6800,4946,36800,7,28,7,166,NA,NA
ENSG00000004142,0.52273162156841801,0,0,1809,8000,0,0,6,71,4.9245456526776601E-2,NA
ENSG00000004399,0.66777065551546599,4584,44000,26500,256000,31,162,75,882,0.99998972450546797,94.06
ENSG00000004455,0.480260554543185,676,9800,8026,90000,19,38,12,308,5.5655856043749299E-3,93.11
ENSG00000004468,0.39538943336563198,700,29600,5212,175000,27,23,48,217,0.000077,82.75
ENSG00000004478,0.78056797491966901,19,6200,43914,583000,4,1,121,1700,0.92747313065381298,73.7
ENSG00000004487,0.68131459241418002,1995,13600,34912,307600,24,86,88,1331,0.99102796468651499,7.22
ENSG00000004534,0.44720381618315602,0,3200,6411,69000,10,0,42,193,0.99999996358332399,9.08
ENSG00000004660,0.50497218744948902,1809,17600,4948,51400,13,82,14,194,6.3239089931578105E-2,9.58
ENSG00000004700,0.35511428194337802,154,3000,1479,25200,2,10,12,58,0.000000,45.3
ENSG00000004766,0.26636421394559401,14,6000,0,0,5,2,0,0,0.99140934240108602,NA
ENSG00000004776,0.58129718560878496,1391,6600,1907,11800,5,32,4,64,0.39124853105994301,NA
ENSG00000004777,0.57878655411785795,1478,6800,5697,29600,6,44,14,177,0.21224841033613301,4.8499999999999996
ENSG00000004779,0.50413971859232798,963,7200,3108,21000,10,12,18,62,0.75525533221833097,53.54
ENSG00000004799,0.54626636237232995,807,15200,11397,150200,45,46,65,514,0.000005,47.63
ENSG00000004809,0.68205957576565002,690,28000,18517,251400,20,38,103,730,0.000000,93.64
ENSG00000004838,0.43722081060430001,2531,32200,1480,14600,21,72,3,32,0.000000,81.19
ENSG00000004846,0.51601061357693701,2577,30800,22618,202600,36,122,99,950,0.000000,99.55
ENSG00000004848,0.84533703373025004,10834,25600,72280,234600,50,218,159,1756,0.75306908332634004,NA
ENSG00000004864,0.85543915117305602,1466,18800,81032,464400,30,49,240,2549,0.000000,7.03
ENSG00000004866,0.64339291659448195,2393,28000,41741,313800,22,120,95,1582,0.998051871776655,36.11
ENSG00000004897,0.52360255621518903,1165,7800,8444,102800,7,32,47,282,0.48667320242291801,99.24
ENSG00000004939,0.47843668763338798,110,4600,4056,44600,10,8,20,183,0.909484294882695,83.67
ENSG00000004948,0.565132386367455,454,15800,13029,195000,31,39,152,745,0.000034,18.43
ENSG00000004961,0.64496135645908104,82,1600,44984,260000,5,7,147,1529,0.95055039124393403,84.62
ENSG00000004975,0.73480488475697903,5664,16200,3050,9000,11,80,4,42,1.1361463937534001E-2,40.15
ENSG00000005001,0.34359188923078499,788,11600,1252,33600,5,37,16,96,1.5476364076107601E-2,34.75
ENSG00000005007,0.49011702045134298,450,4200,5650,58000,9,9,20,176,0.99992607534171096,1.1399999999999999
ENSG00000005020,0.60689908410607896,491,1600,94274,437000,4,9,180,2589,0.90979727770238195,64.260000000000005
ENSG00000005022,0.47922280350029101,178,2600,5882,81800,6,11,47,270,0.857861936540947,62.57
ENSG00000005059,0.44978196500994,2408,51000,7700,145200,62,103,54,283,6.1492569503629902E-3,NA
ENSG00000005073,0.78646241405733197,16288,71200,6980,20600,20,298,7,123,0.86382516918144703,63.07
ENSG00000005075,0.33880430261643601,55,1200,919,15200,4,2,15,37,0.44417313875006298,NA
ENSG00000005100,0.35631570554269798,31,1000,757,9800,2,4,4,24,8.3822781334697994E-3,62.6
ENSG00000005102,0.60631042888151798,1664,18000,20646,206000,30,49,32,575,6.5397403880006796E-2,95.17
ENSG00000005108,0.69983992939028405,6786,57200,45740,453000,72,228,318,1801,0.99928074869262495,8.91
ENSG00000005156,0.579925727901213,251,4000,14036,89000,10,15,23,435,0.000003,6.69
ENSG00000005175,0.60503810878155895,65,8800,20697,392000,5,3,114,899,0.140309540099749,22.68
ENSG00000005187,0.44699464676540202,2073,46400,3234,31400,37,102,14,96,0.000000,87.7
ENSG00000005189,0.55938790471452804,4020,46800,10447,74400,46,141,13,311,0.000001,NA
ENSG00000005194,0.27662156401712401,147,6400,36,5800,7,7,2,4,0.29660589186390202,64.41
ENSG00000005206,0.26326184167258998,201,8600,0,0,5,8,0,0,NA,NA
ENSG00000005238,0.54493017997110804,1037,4000,3160,22200,5,26,12,71,0.38771611148997198,69.89
ENSG00000005243,0.55182860907590303,1562,7200,8309,57400,12,16,11,214,NA,NA
ENSG00000005249,0.56399588359679498,7702,73600,19505,189200,80,280,81,637,0.99532121588297595,22.41
ENSG00000005302,0.655323885994605,2726,27200,16571,123200,26,101,89,630,0.94564687437939499,13.91
ENSG00000005339,0.60892137643690403,364,14400,12959,248400,42,25,78,479,0.99999999999979405,0.22
ENSG00000005379,0.53615390628625703,2280,17800,10252,65200,11,48,8,303,5.6626408491923401E-2,NA
ENSG00000005381,0.63565346444973603,4935,42600,12060,77800,25,153,13,371,0.000000,57.65
ENSG00000005421,0.58998206914495399,2661,66800,20149,217800,35,135,129,1123,2.2088441733079901E-3,91.65
ENSG00000005436,0.44005208170718202,59,2200,28399,267600,4,3,201,834,0.000000,98.86
ENSG00000005448,0.26980407188765199,2050,23000,0,0,11,47,0,0,0.000002,57.85
ENSG00000005469,0.53841993900162,821,14800,7302,87400,12,43,54,240,0.000000,84.68
ENSG00000005471,0.73978326841866704,2288,35800,11065,139400,33,116,85,429,2.03043316816073E-4,6.93
ENSG00000005483,0.62821924363099302,2801,33400,42556,530400,45,174,175,1651,0.99999999470268697,NA
